leads_tempo_desde_evento_anterior_mean,leads_tempo_desde_evento_anterior_std,leads_tempo_desde_evento_anterior_75,leads_tempo_desde_evento_anterior_max,leads_score_midia_mean,leads_score_midia_std,leads_score_midia_min,leads_score_midia_25,leads_score_midia_50,leads_score_midia_75,leads_score_midia_max,leads_vg_mean,leads_vg_std,leads_vg_min,leads_vg_25,leads_vg_50,leads_vg_75,leads_vg_max,leads_m2_anuncio_mean,leads_m2_anuncio_std,leads_m2_anuncio_25,leads_m2_anuncio_50,leads_m2_anuncio_75,leads_m2_anuncio_max,leads_in_dorm_mean,leads_in_dorm_75,leads_in_dorm_max,leads_dl_area_total_mean,leads_dl_area_total_std,leads_dl_area_total_50,leads_dl_area_total_75,leads_dl_area_total_max,leads_in_garagens_totais_mean,leads_in_garagens_totais_25,leads_in_garagens_totais_50,leads_in_garagens_totais_75,leads_in_garagens_totais_max,leads_in_garagens_mean,leads_in_garagens_max,leads_evento_quinta,leads_opercao_locacao,leads_finalidade_residencial,leads_tipo_ocupacao_desocupado,leads_tipo_ocupacao_nao_informado,leads_tx_estado_count,leads_imobiliaria_count,leads_qtd_pesquisas,tempo_min_lead_ate_hj,tempo_max_lead_ate_hj
72.04,157.91,79.0,615.0,13893.17,10104.56,4612.0,6446.0,13209.0,17174.0,32313.0,32140.48,78438.28,0.0,1100.01,1200.0,1250.0,252000.0,956.75,2382.35,23.18182,28.40909,31.42857,8134.280180761782,0.43,0.0,2.0,42.67,30.23,40.0,44.0,120.0,0.28,0.0,0.0,1.0,1.0,0.0,0.0,7.0,18.0,20.0,9.0,6.0,1.0,9.0,24.0,1754.0,17.0
147.45,462.86,17.0,1542.0,11569.33,17968.08,841.0,841.0,1554.0,32313.0,32313.0,464983.33,53931.45,390000.0,410000.0,480000.0,499900.0,530000.0,3550.14,290.5,3312.5,3555.55556,3555.55556,4097.540983606557,1.5,3.0,3.0,100.0,140.29,118.0,122.0,360.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,0.0,6.0,4.0,1.0,1.0,8.0,11.0,1643.0,17.0
8.6,9.71,13.0,23.0,20898.67,10081.94,13209.0,13209.0,17174.0,32313.0,32313.0,14475.0,5828.31,9000.0,9900.0,19000.0,20000.0,20000.0,83.67,46.43,90.0,100.0,126.66667,126.66666666666669,0.0,0.0,0.0,170.0,260.64,130.0,550.0,550.0,5.25,6.0,6.0,6.0,6.0,3.5,6.0,1.0,4.0,0.0,1.0,3.0,1.0,4.0,5.0,63.0,17.0
172.2,295.97,273.0,912.0,8651.17,5820.76,1554.0,4612.0,9605.0,13209.0,17174.0,562875.0,303593.45,3000.0,400000.0,750000.0,800000.0,900000.0,2961.5,1791.59,1777.77778,2962.96296,4901.96078,5333.333333333333,1.38,4.0,5.0,248.75,193.79,270.0,360.0,600.0,3.14,1.0,2.0,4.0,10.0,0.75,3.0,3.0,0.0,8.0,3.0,2.0,1.0,5.0,10.0,1742.0,17.0
0.67,1.15,2.0,2.0,32313.0,9489.073329383884,32313.0,32313.0,32313.0,32313.0,32313.0,1283.33,480.45,850.0,850.0,1200.0,1800.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,19.0,17.0
0.5,0.71,1.0,1.0,13209.0,9489.073329383884,13209.0,13209.0,13209.0,13209.0,13209.0,700.0,0.0,700.0,700.0,700.0,700.0,700.0,14.0,0.0,14.0,14.0,14.0,14.0,0.5,1.0,1.0,125.0,0.0,125.0,125.0,125.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,19.0,17.0
1.0,1.41,2.0,2.0,32313.0,9489.073329383884,32313.0,32313.0,32313.0,32313.0,32313.0,2000.0,848.53,1400.0,1400.0,2600.0,2600.0,2600.0,21.6,0.09,21.53846,21.66667,21.66667,21.666666666666668,2.0,4.0,4.0,270.0,127.28,360.0,360.0,360.0,5.0,2.0,8.0,8.0,8.0,4.0,8.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,19.0,17.0
47.5,160.52,19.0,723.0,11058.0,14280.46,1554.0,4612.0,5753.0,32313.0,32313.0,380891.97,265898.79,999.99,330000.0,425000.0,445000.0,988000.0,2398.05,1808.43,1483.33333,2578.125,2931.03448,6586.666666666667,1.61,3.0,5.0,129.0,124.4,125.0,150.0,372.0,1.93,1.0,2.0,2.0,4.0,0.83,4.0,4.0,4.0,18.0,4.0,9.0,1.0,11.0,20.0,976.0,17.0
22.56,35.84,23.0,115.0,32313.0,9489.073329383884,32313.0,32313.0,32313.0,32313.0,32313.0,1200.0,335.41,800.0,1000.0,1100.0,1200.0,1800.0,14.12,3.26,13.33333,13.84615,16.66667,18.88888888888889,0.44,0.0,2.0,122.22,39.77,125.0,150.0,180.0,0.88,1.0,1.0,1.0,1.0,0.11,1.0,0.0,9.0,9.0,6.0,2.0,1.0,2.0,9.0,224.0,17.0
38.18,146.16,4.0,605.0,10579.5,3718.67,7950.0,7950.0,13209.0,13209.0,13209.0,717.65,242.99,0.0,650.0,650.0,750.0,1100.0,14.81,5.84,12.26415,12.26415,17.04545,24.444444444444443,0.59,2.0,2.0,28.06,27.27,53.0,53.0,53.0,1.0,1.0,1.0,1.0,1.0,0.29,1.0,2.0,17.0,17.0,12.0,3.0,1.0,5.0,17.0,671.0,17.0
402.5,569.22,805.0,805.0,11407.0,2548.41,9605.0,9605.0,13209.0,13209.0,13209.0,299.5,423.56,0.0,0.0,599.0,599.0,599.0,8.84,12.5,0.0,17.68005,17.68005,17.68004722550177,0.0,0.0,0.0,16.94,23.96,33.88,33.88,33.88,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,823.0,17.0
